,Name,Household Income,Asian American,Black American,Hispanic American,White American,Other,state,Zip Code
15275,ZCTA5 08061,128173.0,174.0,617.0,170.0,2140.0,53.0,34,08061
15276,ZCTA5 08062,122428.0,177.0,390.0,604.0,15022.0,244.0,34,08062
15277,ZCTA5 08063,61500.0,9.0,71.0,50.0,2906.0,22.0,34,08063
15278,ZCTA5 08064,-666666666.0,5.0,50.0,1.0,98.0,0.0,34,08064
15279,ZCTA5 08065,66235.0,290.0,1212.0,596.0,5208.0,441.0,34,08065
15280,ZCTA5 08066,43714.0,0.0,2719.0,792.0,5214.0,358.0,34,08066
15281,ZCTA5 08067,75125.0,10.0,69.0,68.0,1537.0,50.0,34,08067
15282,ZCTA5 08068,57766.0,118.0,1509.0,1343.0,4056.0,513.0,34,08068
15283,ZCTA5 08069,46955.0,117.0,3220.0,2656.0,8199.0,805.0,34,08069
15284,ZCTA5 08070,58263.0,220.0,238.0,320.0,11726.0,85.0,34,08070
15285,ZCTA5 08071,73712.0,171.0,164.0,148.0,9045.0,29.0,34,08071
15286,ZCTA5 08072,69271.0,4.0,19.0,0.0,255.0,0.0,34,08072
15287,ZCTA5 08073,190938.0,0.0,0.0,0.0,329.0,37.0,34,08073
15288,ZCTA5 08074,-666666666.0,0.0,16.0,0.0,0.0,0.0,34,08074
15289,ZCTA5 08075,75209.0,1032.0,3176.0,1785.0,22788.0,1405.0,34,08075
15290,ZCTA5 08077,93836.0,332.0,1125.0,1164.0,17206.0,207.0,34,08077
15291,ZCTA5 08078,61833.0,317.0,743.0,919.0,6652.0,354.0,34,08078
15292,ZCTA5 08079,44063.0,15.0,3293.0,838.0,6363.0,229.0,34,08079
15293,ZCTA5 08080,93835.0,2101.0,1630.0,1377.0,32062.0,286.0,34,08080
15294,ZCTA5 08081,82647.0,1858.0,16151.0,4264.0,26736.0,1894.0,34,08081
15295,ZCTA5 08083,67809.0,352.0,1528.0,606.0,7129.0,255.0,34,08083
15296,ZCTA5 08084,68870.0,354.0,500.0,332.0,5931.0,135.0,34,08084
15297,ZCTA5 08085,110864.0,947.0,2008.0,1282.0,16007.0,620.0,34,08085
15298,ZCTA5 08086,76917.0,249.0,619.0,431.0,6758.0,296.0,34,08086
15299,ZCTA5 08087,61368.0,404.0,201.0,1702.0,23188.0,61.0,34,08087
15300,ZCTA5 08088,73323.0,195.0,374.0,1052.0,23005.0,334.0,34,08088
15301,ZCTA5 08089,62288.0,44.0,822.0,563.0,3269.0,157.0,34,08089
15302,ZCTA5 08090,76975.0,223.0,550.0,293.0,7225.0,135.0,34,08090
15303,ZCTA5 08091,52393.0,283.0,602.0,348.0,4306.0,134.0,34,08091
15304,ZCTA5 08092,75865.0,0.0,0.0,170.0,3353.0,32.0,34,08092
15305,ZCTA5 08093,52844.0,312.0,1338.0,1095.0,6948.0,350.0,34,08093
15306,ZCTA5 08094,73086.0,890.0,6181.0,2535.0,31509.0,678.0,34,08094
15307,ZCTA5 08095,45670.0,0.0,0.0,56.0,75.0,56.0,34,08095
15308,ZCTA5 08096,66250.0,1220.0,4920.0,2458.0,27195.0,1302.0,34,08096
16040,ZCTA5 08097,84583.0,9.0,135.0,109.0,2968.0,16.0,34,08097
16041,ZCTA5 08098,83698.0,99.0,978.0,426.0,8165.0,86.0,34,08098
16042,ZCTA5 08102,20165.0,116.0,2257.0,4859.0,1312.0,3295.0,34,08102
16043,ZCTA5 08103,25217.0,144.0,9570.0,4339.0,2117.0,2256.0,34,08103
16044,ZCTA5 08104,23993.0,76.0,16400.0,7569.0,3060.0,3517.0,34,08104
16045,ZCTA5 08105,31801.0,1496.0,7845.0,18869.0,5816.0,11631.0,34,08105
16046,ZCTA5 08106,69896.0,0.0,317.0,158.0,9326.0,0.0,34,08106
16047,ZCTA5 08107,57314.0,525.0,1993.0,2102.0,9264.0,941.0,34,08107
16048,ZCTA5 08108,80016.0,447.0,826.0,908.0,16580.0,338.0,34,08108
